//Provides list of Shift Preferences

@@ "Create"
"NICK_NAME","DAY","START_TIME","DURATION","PREFERENCE_NAME","VERSION_NAME","ADD_HOURS","ADD_DAYS","VALID"
"Emp#1","0","08:00","2","Test Preference Can Work","Test_Version","0","1","1"
"Emp#1","1","08:00","2","Test Preference Can Work","Test_Version","0","-1","1"
"Emp#1","2","08:00","2","Test Preference Can Work","Test_Version","0","-1","1"
"Emp#1","3","08:00","2","Test Preference Can Work","Test_Version","0","-1","1"
"Emp#1","4","08:00","2","Test Preference Can Work","Test_Version","0","-1","1"
"Emp#1","5","08:00","2","Test Preference Can Work","Test_Version","0","-1","1"
"Emp#1","6","08:00","2","Test Preference Can Work","Test_Version","0","-1","1"
"Emp#1","7","08:00","2","Test Preference Can Work","Test_Version","0","-1","0"
"Emp#1","0","08:00","2","Test Preference Can't Work","Test_Version","0","1","1"
"Emp#1","1","08:00","2","Test Preference Can't Work","Test_Version","0","-1","1"
"Emp#1","2","08:00","2","Test Preference Can't Work","Test_Version","0","-1","1"
"Emp#1","3","08:00","2","Test Preference Can't Work","Test_Version","0","-1","1"
"Emp#1","4","08:00","2","Test Preference Can't Work","Test_Version","0","-1","1"
"Emp#1","5","08:00","2","Test Preference Can't Work","Test_Version","0","-1","1"
"Emp#1","6","08:00","2","Test Preference Can't Work","Test_Version","0","-1","1"
"Emp#1","7","08:00","2","Test Preference Can't Work","Test_Version","0","-1","0"

@@ "DefaultShiftPreference"
"NICK_NAME","DAY","START_TIME","DURATION","PREFERENCE_NAME","VERSION_NAME"
"Emp#1","0","08:00","2","Test Preference Can Work","StartupScenario"
"Emp#1","1","08:00","2","Test Preference Can't Work","StartupScenario"
"Emp#2","1","08:00","2","Test Preference Can Work","StartupScenario"
"Emp#2","2","08:00","2","Test Preference Can't Work","StartupScenario"
"April", "0", "13:00:00", "6.0", "Don't prefer to work", "Test_Scenario"
"April", "0", "19:00:00", "6.0", "Don't prefer to work", "Test_Scenario"
"April", "0", "01:00:00", "1.0", "Don't prefer to work", "Test_Scenario"
"April", "1", "08:00:00", "6.0", "Don't prefer to work", "Test_Scenario"
"April", "1", "14:00:00", "1.0", "Don't prefer to work", "Test_Scenario"
"April", "1", "19:30:00", "1.0", "Don't prefer to work", "Test_Scenario"
"April", "1", "20:30:00", "1.0", "Don't prefer to work", "Test_Scenario"
"April", "1", "21:30:00", "1.0", "Don't prefer to work", "Test_Scenario"
"April", "1", "22:30:00", "1.0", "Don't prefer to work", "Test_Scenario"
"April", "1", "23:30:00", "1.0", "Don't prefer to work", "Test_Scenario"
"April", "1", "00:30:00", "1.0", "Don't prefer to work", "Test_Scenario"
"April", "1", "01:30:00", "0.5", "Don't prefer to work", "Test_Scenario"
"April", "1", "15:00:00", "4.5", "Prefer to work", "Test_Scenario"
"April", "2", "12:00:00", "4.0", "Prefer to work", "Test_Scenario"
"April", "2", "08:00:00", "4.0", "Don't prefer to work", "Test_Scenario"
"April", "2", "16:00:00", "4.0", "Don't prefer to work", "Test_Scenario"
"April", "2", "20:00:00", "4.0", "Don't prefer to work", "Test_Scenario"
"April", "2", "00:00:00", "2.0", "Don't prefer to work", "Test_Scenario"
"April", "3", "08:00:00", "6.0", "Don't prefer to work", "Test_Scenario"
"April", "3", "14:00:00", "1.0", "Don't prefer to work", "Test_Scenario"
"April", "3", "19:30:00", "1.0", "Don't prefer to work", "Test_Scenario"
"April", "3", "20:30:00", "1.0", "Don't prefer to work", "Test_Scenario"
"April", "3", "21:30:00", "1.0", "Don't prefer to work", "Test_Scenario"
"April", "3", "22:30:00", "1.0", "Don't prefer to work", "Test_Scenario"
"April", "3", "23:30:00", "1.0", "Don't prefer to work", "Test_Scenario"
"April", "3", "00:30:00", "1.0", "Don't prefer to work", "Test_Scenario"
"April", "3", "01:30:00", "0.5", "Don't prefer to work", "Test_Scenario"
"April", "3", "15:00:00", "4.5", "Prefer to work", "Test_Scenario"
"April", "4", "12:00:00", "4.0", "Prefer to work", "Test_Scenario"
"April", "4", "08:00:00", "4.0", "Don't prefer to work", "Test_Scenario"
"April", "4", "16:00:00", "4.0", "Don't prefer to work", "Test_Scenario"
"April", "4", "20:00:00", "4.0", "Don't prefer to work", "Test_Scenario"
"April", "4", "00:00:00", "2.0", "Don't prefer to work", "Test_Scenario"
