//Provides list of Shift Preferences

@@ "Create"
"NICK_NAME","DAY","START_TIME","DURATION","ROOM_NAME","VERSION_NAME","ADD_HOURS","ADD_DAYS","VALID"
"Emp#1","0","08:00","2","Default_Room","Test_Version","0","1","1"
"Emp#1","1","08:00","2","Default_Room","Test_Version","0","-1","1"
"Emp#1","2","08:00","2","Default_Room","Test_Version","0","-1","1"
"Emp#1","3","08:00","2","Default_Room","Test_Version","0","-1","1"
"Emp#1","4","08:00","2","Default_Room","Test_Version","0","-1","1"
"Emp#1","5","08:00","2","Default_Room","Test_Version","0","-1","1"
"Emp#1","6","08:00","2","Default_Room","Test_Version","0","-1","1"
"Emp#2","0","08:00","2","Default_Room2","Test_Version2","0","1","1"
"Emp#2","0","08:00","2","Default_Room","Test_Version2","0","1","0"
"Emp#1","7","08:00","2","Default_Room","Test_Version","0","-1","0"
"Emp#1","0","07:00","2","Default_Room","Test_Version","0","1","0"
"Emp#1","0","08:00","24","Default_Room","Test_Version","0","1","0"


@@ "DefaultShift"
"NICK_NAME","DAY","START_TIME","DURATION","ROOM_NAME","VERSION_NAME"
"Emp#2","1","08:00","2","Default_Room","StartupScenario"
"Emp#2","3","08:00","2","Default_Room","StartupScenario"
"Emp#2","5","08:00","2","Default_Room","StartupScenario"
"Emp#1","0","08:00","2","Default_Room","StartupScenario"
"Emp#1","2","08:00","2","Default_Room","StartupScenario"
"Emp#1","4","08:00","2","Default_Room","StartupScenario"
"Emp#1","6","08:00","2","Default_Room","StartupScenario"
"Barbara", "2", "12:00:00", "5.0", "Comp. Lab #1", "Test_Scenario"
"Donna", "4", "12:00:00", "5.0", "Comp. Lab #2", "Test_Scenario"
"Tasha", "4", "08:00:00", "4.5", "Comp. Lab #1", "Test_Scenario"
"Cedric", "2", "22:00:00", "4.0", "Comp. Lab #1", "Test_Scenario"
"Tasha", "2", "08:00:00", "3.0", "Comp. Lab #2", "Test_Scenario"
"Janie", "5", "11:30:00", "3.5", "Comp. Lab #1", "Test_Scenario"
"Rickey", "1", "14:30:00", "4.0", "Comp. Lab #1", "Test_Scenario"
"Beth", "2", "14:30:00", "3.5", "Comp. Lab #1", "Test_Scenario"
"Chad", "1", "16:00:00", "4.0", "Comp. Lab #2", "Test_Scenario"
"Guillermo", "1", "08:00:00", "3.5", "Comp. Lab #1", "Test_Scenario"
"Allan", "3", "19:00:00", "4.0", "Comp. Lab #2", "Test_Scenario"
"Rickey", "3", "19:00:00", "3.5", "Comp. Lab #1", "Test_Scenario"
"Wanda", "1", "23:00:00", "3.0", "Comp. Lab #1", "Test_Scenario"
"Cody", "1", "16:00:00", "4.0", "Comp. Lab #2", "Test_Scenario"
